iter	Passed	Remaining
713	6336	2538
714	6345	2529
715	6352	2519
716	6360	2510
717	6369	2501
718	6376	2492
719	6383	2482
720	6390	2473
721	6398	2463
722	6405	2454
723	6412	2444
724	6419	2435
725	6427	2425
726	6434	2416
727	6441	2406
728	6449	2397
729	6456	2388
730	6464	2378
731	6471	2369
732	6478	2359
733	6486	2350
734	6493	2341
735	6500	2331
736	6507	2322
737	6514	2312
738	6521	2303
739	6529	2294
740	6536	2284
741	6543	2275
742	6550	2265
743	6557	2256
744	6564	2246
745	6572	2237
746	6579	2228
747	6586	2218
748	6593	2209
749	6600	2200
750	6608	2190
751	6615	2181
752	6623	2172
753	6631	2163
754	6638	2154
755	6645	2144
756	6653	2135
757	6659	2126
758	6667	2117
759	6674	2107
760	6681	2098
761	6688	2089
762	6696	2079
763	6703	2070
764	6710	2061
765	6717	2052
766	6724	2042
767	6732	2033
768	6739	2024
769	6746	2015
770	6754	2006
771	6761	1996
772	6768	1987
773	6775	1978
774	6783	1969
775	6790	1960
776	6797	1951
777	6805	1941
778	6812	1932
779	6819	1923
780	6827	1914
781	6834	1905
782	6841	1896
783	6849	1887
784	6857	1878
785	6864	1868
786	6871	1859
787	6879	1850
788	6886	1841
789	6893	1832
790	6901	1823
791	6908	1814
792	6915	1805
793	6922	1796
794	6930	1787
795	6937	1777
796	6944	1768
797	6952	1759
798	6959	1750
799	6967	1741
800	6974	1732
801	6982	1723
802	6989	1714
803	6996	1705
804	7003	1696
805	7011	1687
806	7018	1678
807	7026	1669
808	7033	1660
809	7040	1651
810	7047	1642
811	7054	1633
812	7062	1624
813	7069	1615
814	7077	1606
815	7084	1597
816	7091	1588
817	7099	1579
818	7107	1570
819	7115	1561
820	7122	1552
821	7130	1543
822	7137	1534
823	7144	1526
824	7151	1517
825	7159	1508
826	7165	1499
827	7173	1490
828	7180	1481
829	7188	1472
830	7196	1463
831	7203	1454
832	7210	1445
833	7217	1436
834	7224	1427
835	7232	1418
836	7239	1409
837	7246	1400
838	7253	1391
839	7261	1383
840	7268	1374
841	7275	1365
842	7282	1356
843	7289	1347
844	7298	1338
845	7305	1329
846	7312	1320
847	7319	1312
848	7326	1303
849	7334	1294
850	7342	1285
851	7349	1276
852	7356	1267
853	7364	1259
854	7371	1250
855	7379	1241
856	7386	1232
857	7393	1223
858	7400	1214
859	7407	1205
860	7414	1197
861	7421	1188
862	7428	1179
863	7436	1170
864	7443	1161
865	7451	1152
866	7458	1144
867	7465	1135
868	7473	1126
869	7479	1117
870	7486	1108
871	7494	1100
872	7501	1091
873	7508	1082
874	7516	1073
875	7523	1064
876	7531	1056
877	7538	1047
878	7546	1038
879	7553	1030
880	7561	1021
881	7568	1012
882	7576	1003
883	7583	995
884	7591	986
885	7598	977
886	7605	968
887	7613	960
888	7623	951
889	7631	943
890	7639	934
891	7647	925
892	7654	917
893	7661	908
894	7668	899
895	7676	891
896	7683	882
897	7691	873
898	7699	864
899	7706	856
900	7713	847
901	7721	838
902	7729	830
903	7737	821
904	7744	812
905	7752	804
906	7760	795
907	7767	787
908	7774	778
909	7782	769
910	7792	761
911	7800	752
912	7807	743
913	7817	735
914	7825	726
915	7833	718
916	7840	709
917	7847	701
918	7855	692
919	7863	683
920	7870	675
921	7879	666
922	7886	657
923	7894	649
924	7901	640
925	7909	632
926	7917	623
927	7924	614
928	7932	606
929	7939	597
930	7946	588
931	7954	580
932	7961	571
933	7968	563
934	7976	554
935	7983	545
936	7990	537
937	7998	528
938	8005	520
939	8013	511
940	8020	502
941	8028	494
942	8035	485
943	8043	477
944	8050	468
945	8058	459
946	8066	451
947	8073	442
948	8080	434
949	8088	425
950	8095	417
951	8102	408
952	8110	399
953	8117	391
954	8125	382
955	8132	374
956	8140	365
957	8147	357
958	8154	348
959	8162	340
960	8169	331
961	8176	322
962	8184	314
963	8192	305
964	8200	297
965	8208	288
966	8215	280
967	8223	271
968	8230	263
969	8238	254
970	8246	246
971	8254	237
972	8262	229
973	8269	220
974	8277	212
975	8285	203
976	8292	195
977	8299	186
978	8307	178
979	8315	169
980	8323	161
981	8330	152
982	8337	144
983	8345	135
984	8352	127
985	8359	118
986	8367	110
987	8374	101
988	8382	93
989	8390	84
990	8397	76
991	8405	67
992	8412	59
993	8420	50
994	8428	42
995	8435	33
996	8443	25
997	8450	16
998	8458	8
999	8465	0
